Paper Title: An adaptive geometry-based stochastic model for non-isotropic MIMO mobile-to-mobile channels
Citing Paper Number,Paper Title,Over-cite Count
1,"[BOOK][B] Cooperative communications: hardware, channel and PHY",3
2,Impact of vehicles as obstacles in vehicular ad hoc networks,No PDF Found
3,A survey on vehicle-to-vehicle propagation channels,No PDF Found
4,Vehicular channel characterization and its implications for wireless system design and performance,1
5,Vehicle-to-vehicle channel modeling and measurements: recent advances and future challenges,No PDF Found
6,Cooperative MIMO channel modeling and multi-link spatial correlation properties,No PDF Found
7,Wideband channel modeling and intercarrier interference cancellation for vehicle-to-vehicle communication systems,3
8,Coalition formation games for distributed cooperation among roadside units in vehicular networks,2
9,Analysis of access and connectivity probabilities in vehicular relay networks,No PDF Found
10,Envelope level crossing rate and average fade duration of nonisotropic vehicle-to-vehicle Ricean fading channels,2
11,Challenges toward wireless communications for high-speed railway,No PDF Found
12,Two-stage cooperative multicast transmission with optimized power consumption and guaranteed coverage,1
13,Electrified vehicles and the smart grid,2
14,New deterministic and stochastic simulation models for non‐isotropic scattering mobile‐to‐mobile Rayleigh fading channels,No PDF Found
15, An Improved Parameter Computation Method for a MIMO V2V Rayleigh Fading Channel Simulator Under Non-Isotropic Scattering Environments.,2
16,Capacity of hybrid cognitive radio networks with distributed VAAs,1
17,A non-stationary MIMO channel model for high-speed train communication systems,1
18,Cross-layer routing using cooperative transmission in vehicular ad-hoc networks,No PDF Found
19,Quality-of-service driven power and sub-carrier allocation policy for vehicular communication networks,1
20,Communicating in the real world: 3D MIMO,No PDF Found
21,D2D for intelligent transportation systems: A feasibility study,3
22,Interference graph-based resource-sharing schemes for vehicular networks,No PDF Found
23,Wideband measurement-based modeling of inter-vehicle channels in the 5-GHz band,No PDF Found
24,Channel estimation schemes for IEEE 802.11 p standard,0
25,Stochastic analysis of a single-hop communication link in vehicular ad hoc networks,1
26,A non-stationary 3-D wideband twin-cluster model for 5G massive MIMO channels,0
27,Data dissemination in VANETs: A scheduling approach,No PDF Found
28,Energy efficiency analysis of MISO-OFDM communication systems considering power and capacity constraints,No PDF Found
29,A geometry-based stochastic model for wideband MIMO mobile-to-mobile channels,3
30,Novel 3D geometry-based stochastic models for non-isotropic MIMO vehicle-to-vehicle channels,2
,Total,28
"
"
"Paper Title: A survey on the ietf protocol suite for the internet of things: Standards, challenges, and opportunities"
Citing Paper Number,Paper Title,Over-cite Count
1,A survey on trust management for Internet of Things,No PDF Found
2,"Internet of things: A survey on enabling technologies, protocols, and applications",0
3,A survey of wireless technologies coexistence in WBAN: analysis and open research issues,9
4,The emerging internet of things marketplace from an industrial perspective: A survey,No PDF Found
5,Named data networking for IoT: an architectural perspective,0
6,Multi-source data retrieval in IoT via named data networking,1
7,Autonomic schemes for threat mitigation in Internet of Things,5
8,Wireless energy harvesting for the Internet of Things,0
9,Recent advances in industrial wireless sensor networks toward efficient management in IoT,No PDF Found
10,A multi-hop broadcast protocol design for emergency warning notification in highway VANETs,No PDF Found
11,Lightweight management of resource-constrained sensor devices in internet of things,0
12,Internet of things (IoT): Present state and future prospects,No PDF Found
13," Mobile M2M communication architectures, upcoming challenges, applications, and future directions",No PDF Found
14,The Internet of Things: Challenges & security issues,No PDF Found
15,Design and implementation of a sustainable wireless ban platform for remote monitoring of workers health care in harsh environments,1
16,Information Centric Networking in IoT scenarios: The case of a smart home,No PDF Found
17,Approximating geographic routing using coverage tree heuristics for wireless network,22
