Paper Title: Body area networks: A survey
Citing Paper Number,Paper Title,Over-cite Count
1,Certificateless authentication protocol for wireless body area network,No PDF Found
2,Integrated application research about the necklace type wearable health sensing system under the internet of things,No PDF Found
3,A multimedia healthcare data sharing approach through cloud-based body area network,No PDF Found
4,A token-based dynamic scheduled MAC protocol for health monitoring,1
5,An efficient MAC-based scheme against pollution attacks in XOR network coding-enabled WBANs for remote patient monitoring systems,1
6,Mobility management for IoT: a survey,19
7,Survey of Dynamic Super-Frame Adjustment Schemes in Beacon-Enabled IEEE 802.15.4 Networks: An Application’s Perspective,1
8,Energy efficient communication in body area networks using collaborative communication in Rayleigh fading channel,1
9,An ant colony optimization based routing algorithm for extending network lifetime in wireless sensor networks,0
10,A survey of optimization algorithms for wireless sensor network lifetime maximization,No PDF Found
11,SDN-SPS: Semi-Physical Simulation for Software-Defined Networks,3
12,A Novel Human Body Area Network for Brain Diseases Analysis,1
13,Analysis of aggregation delay for multisource sensor data with on-off traffic pattern in wireless body area networks,1
14,Characterization of in-body to on-body wireless radio frequency link for upper limb prostheses,No PDF Found
15,Health Monitoring and Management for Manufacturing Workers in Adverse Working Conditions,3
16,Smart Clothing: Connecting Human with Clouds and Big Data for Sustainable Health Monitoring,2
17,Energy efficient cluster formation and secure data outsourcing using TEOSCC and ECDH-IBT technique in WBAN,No PDF Found
18,A survey of the historical scope and current trends of wearable technology applications,No PDF Found
19,WBAN on NS-3: Novel implementation with high performance of IEEE 802.15.6,1
20,A key agreement method for wireless body area networks,2
21,Adaptive sampling-based information collection for wireless body area networks,1
22,On the Design of Smart Homes: A Framework for Activity Recognition in Home Environment,1
23,A Spatially Aware Channel Model for Body-to-Body Communications,1
24,Optimal Data Transmission Strategy for Healthcare-Based Wireless Sensor Networks: A Stochastic Differential Game Approach,1
25,Parametric study of implantable planar inverted-F antenna for wireless body area network application,No PDF Found
26,Radiated noise analysis via human body for intra-body communication,1
27,Research on routing protocol facing to signal conflicting in link quality guaranteed WSN,5
28,Multi-objective fractional artificial bee colony algorithm to energy aware routing protocol in wireless sensor network,0
29,Towards an EEG-based brain-computer interface for online robot control,4
30,Spread spectrum based energy efficient collaborative communication in wireless sensor networks,No PDF Found
31,Adaptive sampling algorithms with local emergency detection for energy saving in Wireless Body Sensor Networks,No PDF Found
32,Adaptive and context-aware detection and classification of potential QoS degradation events in biomedical wireless sensor networks,No PDF Found
33,A survey on wireless body area networks for ehealthcare systems in residential environments,1
34,Authentication and key relay in medical cyber-physical systems,No PDF Found
35,Smart locks: Lessons for securing commodity internet of things devices,No PDF Found
36,A data acquisition and document oriented storage methodology for ANT+ protocol sensors in real-time web,No PDF Found
37,A Priority based Cross Layer Routing Protocol for healthcare applications,2
38,Model-driven approach for body area network application development,2
39,A survey of IEEE 802.15.4 effective system parameters for wireless body sensor networks,0
40,Field-based optimal placement of antennas for body-worn wireless sensors,1
,Total,56
"
"
Paper Title: Body area networks: A survey
Citing Paper Number,Paper Title,Over-cite Count
1,Certificateless authentication protocol for wireless body area network,No PDF Found
2,Integrated application research about the necklace type wearable health sensing system under the internet of things,No PDF Found
3,A multimedia healthcare data sharing approach through cloud-based body area network,No PDF Found
4,A token-based dynamic scheduled MAC protocol for health monitoring,No PDF Found
5,An efficient MAC-based scheme against pollution attacks in XOR network coding-enabled WBANs for remote patient monitoring systems,1
6,Mobility management for IoT: a survey,19
7,Survey of Dynamic Super-Frame Adjustment Schemes in Beacon-Enabled IEEE 802.15.4 Networks: An Application’s Perspective,1
8,Energy efficient communication in body area networks using collaborative communication in Rayleigh fading channel,1
9,An ant colony optimization based routing algorithm for extending network lifetime in wireless sensor networks,0
10,A survey of optimization algorithms for wireless sensor network lifetime maximization,No PDF Found
11,SDN-SPS: Semi-Physical Simulation for Software-Defined Networks,3
12,A Novel Human Body Area Network for Brain Diseases Analysis,1
13,Analysis of aggregation delay for multisource sensor data with on-off traffic pattern in wireless body area networks,1
14,Characterization of in-body to on-body wireless radio frequency link for upper limb prostheses,No PDF Found
15,Health Monitoring and Management for Manufacturing Workers in Adverse Working Conditions,3
16,Smart Clothing: Connecting Human with Clouds and Big Data for Sustainable Health Monitoring,2
17,Energy efficient cluster formation and secure data outsourcing using TEOSCC and ECDH-IBT technique in WBAN,No PDF Found
18,A survey of the historical scope and current trends of wearable technology applications,No PDF Found
19,WBAN on NS-3: Novel implementation with high performance of IEEE 802.15.6,1
20,A key agreement method for wireless body area networks,2
21,Adaptive sampling-based information collection for wireless body area networks,1
22,On the Design of Smart Homes: A Framework for Activity Recognition in Home Environment,1
23,A Spatially Aware Channel Model for Body-to-Body Communications,1
24,Optimal Data Transmission Strategy for Healthcare-Based Wireless Sensor Networks: A Stochastic Differential Game Approach,1
25,Parametric study of implantable planar inverted-F antenna for wireless body area network application,No PDF Found
26,Radiated noise analysis via human body for intra-body communication,1
27,Research on routing protocol facing to signal conflicting in link quality guaranteed WSN,5
28,Multi-objective fractional artificial bee colony algorithm to energy aware routing protocol in wireless sensor network,0
29,Towards an EEG-based brain-computer interface for online robot control,4
30,Spread spectrum based energy efficient collaborative communication in wireless sensor networks,No PDF Found
31,Adaptive sampling algorithms with local emergency detection for energy saving in Wireless Body Sensor Networks,No PDF Found
32,Adaptive and context-aware detection and classification of potential QoS degradation events in biomedical wireless sensor networks,No PDF Found
33,A survey on wireless body area networks for ehealthcare systems in residential environments,1
34,Authentication and key relay in medical cyber-physical systems,No PDF Found
35,Smart locks: Lessons for securing commodity internet of things devices,No PDF Found
36,A data acquisition and document oriented storage methodology for ANT+ protocol sensors in real-time web,No PDF Found
37,A Priority based Cross Layer Routing Protocol for healthcare applications,2
38,Model-driven approach for body area network application development,2
39,A survey of IEEE 802.15.4 effective system parameters for wireless body sensor networks,0
40,Field-based optimal placement of antennas for body-worn wireless sensors,1
,Total,55
"
"
Paper Title: A game-theoretic method of fair resource allocation for cloud computing services
Citing Paper Number,Paper Title,Over-cite Count
1,An optimized aggregate marker algorithm for bandwidth fairness improvement in classifying traffic networks,13
2,A low-level resource allocation in an agent-based Cloud Computing platform,0
3,Efficient Resource Management for Cloud-enabled Video Surveillance over Next Generation Network,1
