Paper Title: Body area networks: A survey
Citing Paper Number,Paper Title,Over-cite Count
1,Certificateless authentication protocol for wireless body area network,No PDF Found
2,A multimedia healthcare data sharing approach through cloud-based body area network,No PDF Found
3,A token-based dynamic scheduled MAC protocol for health monitoring,1
4,An efficient MAC-based scheme against pollution attacks in XOR network coding-enabled WBANs for remote patient monitoring systems,1
5,Mobility management for IoT: a survey,19
6,Energy efficient communication in body area networks using collaborative communication in Rayleigh fading channel,No PDF Found
7,Survey of Dynamic Super-Frame Adjustment Schemes in Beacon-Enabled IEEE 802.15.4 Networks: An Application’s Perspective,No PDF Found
8,An ant colony optimization based routing algorithm for extending network lifetime in wireless sensor networks,No PDF Found
9,A survey of optimization algorithms for wireless sensor network lifetime maximization,No PDF Found
10,SDN-SPS: Semi-Physical Simulation for Software-Defined Networks,No PDF Found
11,Analysis of aggregation delay for multisource sensor data with on-off traffic pattern in wireless body area networks,1
12,A Novel Human Body Area Network for Brain Diseases Analysis,1
13,Characterization of in-body to on-body wireless radio frequency link for upper limb prostheses,No PDF Found
14,Health Monitoring and Management for Manufacturing Workers in Adverse Working Conditions,3
15,Smart Clothing: Connecting Human with Clouds and Big Data for Sustainable Health Monitoring,No PDF Found
16,Energy efficient cluster formation and secure data outsourcing using TEOSCC and ECDH-IBT technique in WBAN,No PDF Found
17,A survey of the historical scope and current trends of wearable technology applications,No PDF Found
18,WBAN on NS-3: Novel implementation with high performance of IEEE 802.15.6,No PDF Found
19,A key agreement method for wireless body area networks,No PDF Found
20,Adaptive sampling-based information collection for wireless body area networks,1
21,On the Design of Smart Homes: A Framework for Activity Recognition in Home Environment,1
22,A Spatially Aware Channel Model for Body-to-Body Communications,1
23,Optimal Data Transmission Strategy for Healthcare-Based Wireless Sensor Networks: A Stochastic Differential Game Approach,1
24,Parametric study of implantable planar inverted-F antenna for wireless body area network application,No PDF Found
25,Radiated noise analysis via human body for intra-body communication,1
26,Multi-objective fractional artificial bee colony algorithm to energy aware routing protocol in wireless sensor network,0
27,Towards an EEG-based brain-computer interface for online robot control,4
28,Research on routing protocol facing to signal conflicting in link quality guaranteed WSN,5
29,Spread spectrum based energy efficient collaborative communication in wireless sensor networks,No PDF Found
30,Adaptive sampling algorithms with local emergency detection for energy saving in Wireless Body Sensor Networks,No PDF Found
31,Adaptive and context-aware detection and classification of potential QoS degradation events in biomedical wireless sensor networks,No PDF Found
32,A survey on wireless body area networks for ehealthcare systems in residential environments,1
33,Authentication and key relay in medical cyber-physical systems,No PDF Found
34,Smart locks: Lessons for securing commodity internet of things devices,No PDF Found
35,A data acquisition and document oriented storage methodology for ANT+ protocol sensors in real-time web,No PDF Found
36,A Priority based Cross Layer Routing Protocol for healthcare applications,2
37,Model-driven approach for body area network application development,2
38,A survey of IEEE 802.15.4 effective system parameters for wireless body sensor networks,0
39,Field-based optimal placement of antennas for body-worn wireless sensors,1
40,Fuzzy-controlled living insect legged actuator,0
,Total,46
"
"
Paper Title: Body area networks: A survey
Citing Paper Number,Paper Title,Over-cite Count
1,Certificateless authentication protocol for wireless body area network,No PDF Found
2,A multimedia healthcare data sharing approach through cloud-based body area network,No PDF Found
3,A token-based dynamic scheduled MAC protocol for health monitoring,1
4,An efficient MAC-based scheme against pollution attacks in XOR network coding-enabled WBANs for remote patient monitoring systems,1
5,Mobility management for IoT: a survey,19
6,Energy efficient communication in body area networks using collaborative communication in Rayleigh fading channel,No PDF Found
7,Survey of Dynamic Super-Frame Adjustment Schemes in Beacon-Enabled IEEE 802.15.4 Networks: An Application’s Perspective,No PDF Found
8,An ant colony optimization based routing algorithm for extending network lifetime in wireless sensor networks,No PDF Found
9,A survey of optimization algorithms for wireless sensor network lifetime maximization,No PDF Found
10,SDN-SPS: Semi-Physical Simulation for Software-Defined Networks,No PDF Found
11,Analysis of aggregation delay for multisource sensor data with on-off traffic pattern in wireless body area networks,1
12,A Novel Human Body Area Network for Brain Diseases Analysis,1
13,Characterization of in-body to on-body wireless radio frequency link for upper limb prostheses,No PDF Found
14,Health Monitoring and Management for Manufacturing Workers in Adverse Working Conditions,3
15,Smart Clothing: Connecting Human with Clouds and Big Data for Sustainable Health Monitoring,No PDF Found
16,Energy efficient cluster formation and secure data outsourcing using TEOSCC and ECDH-IBT technique in WBAN,No PDF Found
17,A survey of the historical scope and current trends of wearable technology applications,No PDF Found
18,WBAN on NS-3: Novel implementation with high performance of IEEE 802.15.6,No PDF Found
19,A key agreement method for wireless body area networks,No PDF Found
20,Adaptive sampling-based information collection for wireless body area networks,1
21,On the Design of Smart Homes: A Framework for Activity Recognition in Home Environment,1
22,A Spatially Aware Channel Model for Body-to-Body Communications,1
23,Optimal Data Transmission Strategy for Healthcare-Based Wireless Sensor Networks: A Stochastic Differential Game Approach,1
24,Parametric study of implantable planar inverted-F antenna for wireless body area network application,No PDF Found
25,Radiated noise analysis via human body for intra-body communication,1
26,Multi-objective fractional artificial bee colony algorithm to energy aware routing protocol in wireless sensor network,0
27,Towards an EEG-based brain-computer interface for online robot control,4
28,Research on routing protocol facing to signal conflicting in link quality guaranteed WSN,5
29,Spread spectrum based energy efficient collaborative communication in wireless sensor networks,No PDF Found
30,Adaptive sampling algorithms with local emergency detection for energy saving in Wireless Body Sensor Networks,No PDF Found
31,Adaptive and context-aware detection and classification of potential QoS degradation events in biomedical wireless sensor networks,No PDF Found
32,A survey on wireless body area networks for ehealthcare systems in residential environments,1
33,Authentication and key relay in medical cyber-physical systems,No PDF Found
34,Smart locks: Lessons for securing commodity internet of things devices,No PDF Found
35,A data acquisition and document oriented storage methodology for ANT+ protocol sensors in real-time web,No PDF Found
36,A Priority based Cross Layer Routing Protocol for healthcare applications,2
37,Model-driven approach for body area network application development,2
38,A survey of IEEE 802.15.4 effective system parameters for wireless body sensor networks,0
39,Field-based optimal placement of antennas for body-worn wireless sensors,1
40,Fuzzy-controlled living insect legged actuator,0
,Total,46
"
"
Paper Title: A game-theoretic method of fair resource allocation for cloud computing services
Citing Paper Number,Paper Title,Over-cite Count
1,An optimized aggregate marker algorithm for bandwidth fairness improvement in classifying traffic networks,13
2,A low-level resource allocation in an agent-based Cloud Computing platform,0
