Range-free localization schemes for large scale sensor networks
Ndss,1
2004,1
2007,1
2005,1
Journal Of Combinatorial Optimization,1
Computer Networks,1
"
"
SPEED: A stateless protocol for real-time communication in sensor networks
Information Processing In Sensor Networks,1
2005,1
Ieee Wireless Communications,1
Ad Hoc Networks,1
Advances In Multimedia,1
2007,1
Computer Communications,1
Ieee Transactions On Industrial Informatics,1
Ieee Transactions On Automatic Control,1
Computer Networks,1
"
"
Energy-efficient surveillance system using wireless sensor networks
Acm Transactions On Sensor Networks (Tosn),1
Real-Time Systems,1
Proceedings Of The Ieee,1
Mobile Networks And Applications,1
Journal Of Intelligent Manufacturing,1
Embedded Systems Handbook,1
Ad Hoc Networks,1
Ieee/Acm Transactions On Networking (Ton),1
Infocom,1
"
"
Performance guarantees for web server end-systems: A control-theoretical approach
Real-Time Systems,1
Nsdi,1
Quality Of Service,2
Ieee Control Systems Magazine,1
Osdi,1
2006 American Control Conference,1
Proceedings Of The Ieee,1
"
"
Rap: A real-time communication architecture for large-scale wireless sensor networks
Information Processing In Sensor Networks,1
Proceedings Of The Ieee,1
System Sciences,1
Real-Time Systems,1
2007,1
Computer,1
Ieee Computer,1
Computer Networks,1
"
"
Real time scheduling theory: A historical perspective
Real-Time Systems,4
Proceedings Of The Ieee,1
Ifac Proceedings Volumes,1
Acm Computing Surveys (Csur),1
Real-Time Systems Symposium (Rtss),1
Acm Sigplan Notices,1
Arxiv Preprint Arxiv:0806.1385,1
Journal Of Systems And Software,1
Automatica,1
Eindhoven,1
2011,1
"
"
VigilNet: An integrated sensor network system for energy-efficient surveillance
Proceedings Of The Ieee,1
Real-Time Systems,1
Ieee Distributed Systems Online,1
Advances In Multimedia,1
2008,1
Ieee Computer,1
"
"
Real-time communication and coordination in embedded sensor networks
Sensors,1
Real-Time Systems,1
Proceedings Of The Ieee,3
Ifac Proceedings Volumes,1
2010 Ieee International Test Conference,1
Security In Distributed,1
Ad Hoc Networks,1
2007,1
Gi/Itg Workshop On Sensor Networks,1
2008,1
2006,1
Ieee Transactions On Industrial Informatics,1
Arxiv Preprint Arxiv:1011.1529,1
"
"
Named data networking (ndn) project
International Conference On Research In Networking,1
Infocom,1
Computer Networks,2
"
"
Minimum-energy asynchronous dissemination to mobile sinks in wireless sensor networks
2005,1
Ieee Transactions On Vehicular Technology,1
Ieee Transactions On Mobile Computing,1
Ad Hoc Networks,2
2007,1
Ieee/Acm Transactions On Networking (Ton),1
Wireless Networks,1
Mobile Ad-Hoc And Sensor Systems,1
"
"
Control-theoretic techniques and thermal-RC modeling for accurate and localized dynamic thermal management
Real-Time Systems,1
Quality Of Service,1
Low Power Electronics And Design,1
Ieee Micro,1
Acm Computing Surveys (Csur),1
Ieee Control Systems Magazine,1
Cluster Computing,1
Acm Sigarch Computer Architecture News,2
"
"
Towards optimal sleep scheduling in sensor networks for rare-event detection
Proceedings Of The Ieee,1
Icwn,1
Ad Hoc Networks,1
Ieee Transactions On Mobile Computing,2
Real-Time Systems Symposium,1
Ieee/Acm Transactions On Networking (Ton),1
2006,1
Pervasive And Mobile Computing,1
"
"
MMSN: Multi-Frequency Media Access Control for Wireless Sensor Networks.
Sensors,1
Ieee Emnets,1
Ad Hoc Networks,1
Computer Networks,1
2008,1
Ieee Computer,1
"
"
Pda: Privacy-preserving data aggregation in wireless sensor networks
Ad Hoc Networks,1
Computer Communications,2
Infocom,3
Computer Networks,1
"
"
Real-time power-aware routing in sensor networks
Sensors,3
Computer Communications,1
Journal Of Signal Processing Systems,1
Int. Arab J. Inf. Technol.,1
Ieee Transactions On Mobile Computing,1
Ieee Transactions On Computers,1
Ifac Proceedings Volumes,1
"
"
A spatiotemporal communication protocol for wireless sensor networks
Ieee Computer,1
Sensors,2
Ieee Internet Of Things Journal,1
Tsinghua Science & Technology,1
Ieee Network,1
World Of Wireless,1
Computer Networks,1
Network Protocols (Icnp),1
"
"
AIDA: Adaptive application-independent data aggregation in wireless sensor networks
Aiccsa,1
Decision And Control,1
2007,1
Computer Communications,1
Real-Time Systems Symposium,1
2006,2
Infocom,1
Osu-Cisrc-11/04-Tr60,1
Ieee Sensors Journal,1
"
"
Envirotrack: Towards an environmental computing paradigm for distributed sensor networks
Acm Sigbed Review,1
Acm Transactions On Sensor Networks (Tosn),2
Acm Computing Surveys (Csur),1
Ieee Distributed Systems Online,1
2010,1
2007,1
Computer,1
Managing And Mining Sensor Data,1
"
"
Mobiscopes for human spaces
Communications Of The Acm,1
2006,1
Infocom,1
Mobile Networks And Applications,1
Pervasive And Mobile Computing,1
"
"
"By Tarek F. Abdelzaher, John A. Stankovic, Chenyang Lu, Ronghua Zhang, and Ying Lu"
Real-Time Systems,1
Quality Of Service,1
Distributed Computing Systems,1
Quality Of Service (Iwqos),1
"
"
Lightweight detection and classification for wireless sensor networks in realistic environments
Computer Communications,1
Proceedings Of The Ieee,1
2006,1
Microprocessors And Microsystems,1
Computer Networks,1
"
"
Dynamic voltage scaling in multitier web servers with end-to-end delay control
Quality Of Service,1
Information Systems Frontiers,1
The Journal Of Supercomputing,1
Ieee Computer Architecture Letters,1
Real-Time Systems Symposium,1
Cluster,1
Infocom,1
Journal Of Systems And Software,1
Icac,1
Cluster Computing,1
Acm Sigarch Computer Architecture News,1
Software: Practice And Experience,1
"
"
Power-aware QoS management in web servers
Cluster Computing,3
Acm Computing Surveys (Csur),1
Real-Time Systems,1
Nsdi,1
Sc 2006 Conference,1
Acm Sigplan Notices,1
2006,1
Acm Sigarch Computer Architecture News,1
"
"
Web server QoS management by adaptive content delivery
Real-Time Systems,2
Quality Of Service,1
2004,1
Ieee Network,1
Real-Time Systems Symposium,1
Ieee Control Systems Magazine,1
Computer Networks,2
Fast,1
"
"
Achieving real-time target tracking usingwireless sensor networks
Ifac Proceedings Volumes,1
Journal Of Computer Science And Technology,1
Journal Of Signal Processing Systems,1
Ad Hoc Networks,1
Siam Journal On Applied Mathematics,1
Infocom,2
Ad Hoc & Sensor Wireless Networks,1
2016,1
Computer Networks,2
"
"
Range-free localization and its impact on large scale sensor networks
Journal Of Intelligent Manufacturing,1
Ad Hoc And Sensor Wireless Networks: Architectures,1
Information Technology Journal,1
Computer Communications,2
Computer Networks,1
International Journal Of Sensor Networks,1
Journal Of Control Theory And Applications,1
2011,1
"
"
GreenGPS: a participatory sensing fuel-efficient maps application
Wireless Networks,1
Social Network Data Analytics,1
Infocom,3
Managing And Mining Sensor Data,1
Sensor,1
"
"
RID: Radio interference detection in wireless sensor networks
Ieee Transactions On Industrial Electronics,1
Ieee Emnets,1
Real-Time Systems Symposium,1
Ieee Transactions On Smart Grid,1
Infocom,1
Ieee Computer,1
Distributed Computing Systems,1
Computer Networks,2
"
"
Assignment and scheduling communicating periodic tasks in distributed real-time systems
Real-Time Systems,1
Real-Time Systems Symposium (Rtss),1
1999,1
Ieee Transactions On Software Engineering,1
Ser. Phd Thesis,1
Int. J. Open Problems Compt. Math,1
Real-Time Systems Symposium,2
Ijcsa,1
2000,1
Pdpta,1
Ieee Transactions On Computers,1
Fault-Tolerant Computing,1
Us Patent 8,1
"
"
The liteos operating system: Towards unix-like abstractions for wireless sensor networks
Sensors,2
2011,1
Sensys,1
Acm Computing Surveys (Csur),1
Journal Of Systems Architecture,1
Information Processing Letters,1
Science Of Computer Programming,1
Data & Knowledge Engineering,1
"
"
Web content adaptation to improve server overload behavior
Proc. Of Acm Sigact-Sigops Podc,1
Computer Networks,1
Quality Of Service,2
Usits,1
2004,1
Journal Of Network And Computer Applications,1
Acm Transactions On Storage (Tos),1
Ieee Transactions On Computers,1
Computers In Human Behavior,1
Acm Sigmod Record,1
"
"
Performance specifications and metrics for adaptive real-time systems
Real-Time Systems,7
2001,1
2003,1
Ibm Systems Journal,1
2004,1
2005,1
Arxiv Preprint Arxiv:0806.1385,1
2011,1
"
"
Scalable logical coordinates framework for routing in wireless sensor networks
Ad Hoc Networks,1
2007,1
Lcn,1
Infocom 2009,1
Rivf,1
Computer Networks,1
"
"
Feedback control architecture and design methodology for service delay guarantees in web servers
2010,1
Control Engineering Practice,1
Journal Of Systems And Software,1
The Journal Of Supercomputing,1
Journal Of Parallel And Distributed Computing,1
Computer Networks,1
Web Services,1
2011,1
"
"
Feedback control scheduling in distributed real-time systems
Real-Time Systems,3
Quality Of Service,2
Control Conference (Ecc),1
Computer Communications,1
Journal Of Systems And Software,1
Acm Transactions On Storage (Tos),1
Ieee Control Systems Magazine,1
Distributed Computing Systems,1
2002,1
"
"
Analysis of target detection performance for wireless sensor networks
Acm Transactions On Sensor Networks (Tosn),1
Sensors,1
Ad Hoc & Sensor Wireless Networks,1
Wireless Networks,1
Ieee Transactions On Computers,1
"
"
Controlware: A middleware architecture for feedback control of software performance
Communications Of The Acm,1
Real-Time Systems,2
Proceedings Of The Ieee,1
Quality Of Service,2
Control Engineering Practice,1
Ieee Control Systems Magazine,1
Arxiv Preprint Arxiv:0806.1385,1
Journal Of Systems And Software,1
"
"
Feedback control with queueing-theoretic prediction for relative delay guarantees in web servers
Real-Time Systems,2
Decision Support Systems,1
2005,1
Real-Time Systems Symposium,1
Ieee Transactions On Computers,2
Control Engineering Practice,1
"
"
Queueing model based network server performance control
"
"
Satire: a software architecture for smart attire
"
"
PoolView: stream privacy for grassroots participatory sensing
"
"
Differentiated caching services; a control-theoretical approach
"
"
On real-time capacity limits of multihop wireless sensor networks
"
"
On truth discovery in social sensing: A maximum likelihood estimation approach
"
"
An adaptive control framework for qos guarantees and its application to differentiated caching
"
"
Combined task and message scheduling in distributed real-time systems
"
"
A practical multi-channel media access control protocol for wireless sensor networks
"
"
Adapcode: Adaptive network coding for code updates in wireless sensor networks
"
"
A utilization bound for aperiodic tasks and priority driven scheduling
"
"
Envirosuite: An environmentally immersive programming framework for sensor networks
"
"
