Paper Title: Range-free localization schemes for large scale sensor networks,,
Citing Paper Number,Paper Title,Over-cite Count
1,Wireless sensor networks: a survey,No PDF Found
2,[BOOK][B] Protocols and architectures for wireless sensor networks,No PDF Found
3,[BOOK][B] Wireless sensor networks: an information processing approach,No PDF Found
4,Wireless sensor networks: A survey on the state of the art and the 802.15. 4 and ZigBee standards,2
5,Localization for mobile sensor networks,1
6,Design and analysis of an MST-based topology control algorithm,1
7,Joint mobility and routing for lifetime elongation in wireless sensor networks,0
8,Impact of radio irregularity on wireless sensor networks,3
9,MMSPEED: multipath Multi-SPEED protocol for QoS guarantee of reliability and. Timeliness in wireless sensor networks,3
10,Energy-efficient surveillance system using wireless sensor networks,4
11,Practical robust localization over large-scale 802.11 wireless networks,1
12,Signal processing techniques in network-aided positioning: a survey of state-of-the-art positioning designs,0
13,Differentiated surveillance for sensor networks,5
14, Using Directional Antennas to Prevent Wormhole Attacks.,0
15,VigilNet: An integrated sensor network system for energy-efficient surveillance,5
16,"Rigidity, computation, and randomization in network localization",No PDF Found
17,SeRLoc: Secure range-independent localization for wireless sensor networks,1
18,Defense against primary user emulation attacks in cognitive radio networks,1
19,Localization with mobile anchor points in wireless sensor networks,1
20,Robust statistical methods for securing wireless localization in sensor networks,1
21,A theory of network localization,1
22,Localization systems for wireless sensor networks,0
23,Models and solutions for radio irregularity in wireless sensor networks,3
24,[BOOK][B] Networking wireless sensors,0
25,Rendered path: range-free localization in anisotropic sensor networks with holes,No PDF Found
26,JAM: A jammed-area mapping service for sensor networks,2
27,Coverage by directional sensors in randomly deployed wireless sensor networks,1
28,Network coverage using low duty-cycled sensors: random & coordinated sleep algorithms,1
29,Attack-resistant location estimation in sensor networks,1
30,Localization in sensor networks,1
,Total,39
"
",,
Paper Title: SPEED: A stateless protocol for real-time communication in sensor networks,,
Citing Paper Number,Paper Title,Over-cite Count
1,Wireless sensor networks: a survey,No PDF Found
2,Routing techniques in wireless sensor networks: a survey,0
