Paper Title,Self Cite Count
Range-free localization schemes for large scale sensor networks,0
SPEED: A stateless protocol for real-time communication in sensor networks,2
Energy-efficient surveillance system using wireless sensor networks,4
Performance guarantees for web server end-systems: A control-theoretical approach,10
Rap: A real-time communication architecture for large-scale wireless sensor networks,0
Real time scheduling theory: A historical perspective,No PDF found
VigilNet: An integrated sensor network system for energy-efficient surveillance,5
Real-time communication and coordination in embedded sensor networks,6
Named data networking (ndn) project,0
Minimum-energy asynchronous dissemination to mobile sinks in wireless sensor networks,3
Control-theoretic techniques and thermal-RC modeling for accurate and localized dynamic thermal management,No PDF found
Towards optimal sleep scheduling in sensor networks for rare-event detection,1
MMSN: Multi-Frequency Media Access Control for Wireless Sensor Networks.,2
Pda: Privacy-preserving data aggregation in wireless sensor networks,0
Real-time power-aware routing in sensor networks,No PDF found
A spatiotemporal communication protocol for wireless sensor networks,5
AIDA: Adaptive application-independent data aggregation in wireless sensor networks,4
Envirotrack: Towards an environmental computing paradigm for distributed sensor networks,No PDF found
Mobiscopes for human spaces,No PDF found
Lightweight detection and classification for wireless sensor networks in realistic environments,5
"By Tarek F. Abdelzaher, John A. Stankovic, Chenyang Lu, Ronghua Zhang, and Ying Lu",11
Dynamic voltage scaling in multitier web servers with end-to-end delay control,1
Power-aware QoS management in web servers,3
Web server QoS management by adaptive content delivery,1
Achieving real-time target tracking usingwireless sensor networks,9
Range-free localization and its impact on large scale sensor networks,0
GreenGPS: a participatory sensing fuel-efficient maps application,3
RID: Radio interference detection in wireless sensor networks,1
Assignment and scheduling communicating periodic tasks in distributed real-time systems,0
The liteos operating system: Towards unix-like abstractions for wireless sensor networks,No PDF found
Web content adaptation to improve server overload behavior,1
Performance specifications and metrics for adaptive real-time systems,No PDF found
Scalable logical coordinates framework for routing in wireless sensor networks,1
Feedback control architecture and design methodology for service delay guarantees in web servers,6
Feedback control scheduling in distributed real-time systems,7
Analysis of target detection performance for wireless sensor networks,1
Controlware: A middleware architecture for feedback control of software performance,10
Feedback control with queueing-theoretic prediction for relative delay guarantees in web servers,12
Queueing model based network server performance control,No PDF found
PoolView: stream privacy for grassroots participatory sensing,No PDF found
Satire: a software architecture for smart attire,0
Differentiated caching services; a control-theoretical approach,3
On truth discovery in social sensing: A maximum likelihood estimation approach,5
On real-time capacity limits of multihop wireless sensor networks,4
An adaptive control framework for qos guarantees and its application to differentiated caching,9
Combined task and message scheduling in distributed real-time systems,2
A practical multi-channel media access control protocol for wireless sensor networks,No PDF found
Adapcode: Adaptive network coding for code updates in wireless sensor networks,2
A utilization bound for aperiodic tasks and priority driven scheduling,2
Envirosuite: An environmentally immersive programming framework for sensor networks,0
