Journal,Total Citing Papers from Journal
,18
2006 American Control Conference,3
Networking,1
Computer Communications And,1
Osdi,1
Green Computing,1
Workshop On Operating Systems Platforms,1
Ieee/Acm Transactions On Networking,1
2010 Ieee International Test Conference,1
Ad Hoc & Sensor Wireless Networks,2
Formal And Practical,1
Acm Transactions On Software Engineering,1
Ieee Infocom 2007-,2
Proceedings Of The Third,2
Ieee Transactions On Network And,1
Of The Second Acm Conference On,1
Gi/Itg Workshop On Sensor Networks,1
Performance Computing And,1
On Mobile Adhoc,1
Ieice Transactions On,1
International Journal Of,4
Proceedings Of The 2Nd International Conference,1
(Cloud),2
Ieee Transactions On Control,1
Proceedings Of The 16Th,1
Acm/Ifip/Usenix International,1
Acm Sigarch Computer Architecture News,4
Distributed Computing Systems,4
Theoretical Aspects Of Distributed,1
Fire Safety Journal,1
Ieee Transactions On Automatic,1
Software Engineering For,1
Computers & Geosciences,1
Journal Of Control Theory And Applications,1
Acm Transactions On,31
Sensor Technologies And,1
Concurrency And,1
And Workshops On,5
Proceedings Of The 2009 9Th Ieee/Acm,1
European Journal Of Operational,1
Osu-Cisrc-11/04-Tr60,1
2009 Ieee 6Th,2
World Of Wireless,1
Autonomous Agents And,2
2011 Ieee International Conference On,1
Acm Transactions On Embedded Computing Systems (,1
Ieee Transactions,8
Security And,1
Ieee Journal On Selected Areas In,2
2009 6Th Annual Ieee,1
Wireless Sensor,3
Communications Surveys &,1
Ad Hoc And Sensor Wireless Networks: Architectures,1
2011 17Th Ieee Real-Time,1
Parallel & Distributed,1
The Art Of Wireless Sensor Networks,1
International Conference On High-Performance,1
Of The 1St Acm Workshop On,1
Proceedings Of The 2012 Acm Conference On,1
International Workshop On Distributed Systems,1
Percom),1
Processing In Sensor,1
Ieee Distributed Systems Online,2
Acm Transactions On Design Automation,1
Control Conference (Ecc),1
Of The 5Th European Conference On,1
6Th Annual Postgraduate Symposium On,1
Mobile Ad-Hoc And Sensor Systems,1
Ieee Control,1
Environmental Science And,1
2008 Ieee 14Th International Symposium On,3
Systems Workshops,3
Ieee Sensors Journal,2
Ieee Transactions On Control Systems,3
Ieee Transactions On Industrial,10
(Fusion),1
International Workshop On,1
Conference On Distributed,1
Lcn,1
Performance Analysis Of,1
Symposium,1
Proceedings Of The 3Rd International Conference On,1
Managing And Mining Sensor Data,4
2008 Ieee 24Th,1
20Th Ieee International,1
Proceedings Of The 3Rd Acm Sigcomm,1
Proceedings Of The 2007 International,1
In Scheduling,1
2007 Ieee 18Th,1
Acm Sigmod Record,1
2006 27Th Ieee International Real,2
Computers And Communications,1
Acm Sigmobile Mobile Computing And,2
Proceedings Of The 12Th Acm Conference,1
Wired/Wireless Internet,2
Proceedings Of Third Workshop On Embedded,1
Advanced Computer Science,1
Of The 2012 Ieee/Acm Third,1
Ieee Transactions On Software Engineering,1
Parallel Computing,1
19Th Euromicro Conference On Real-Time,1
Wireless Communications And Mobile,1
Computer Networks,22
2014 Eleventh Annual Ieee,1
Compilers And Operating,1
Computer,5
Acm Sigplan Notices,2
Proceedings Of The 6Th,25
Pervasive Computing And Communications (,1
Journal Of Signal Processing Systems,2
Ieee Transactions On Mobile Computing,5
2010 Ieee 26Th International,1
Ieee Communications Surveys &,9
Proceedings Of The 4Th International Conference On,1
Journal Of Computer Science And,2
Control Conference,1
2008 Ieee 14Th International,1
Of The Sigchi Conference On Human,1
Journal Of Systems Architecture,2
Ieee/Acm Transactions On Networking (Ton),3
Parallel & Distributed Processing,1
Of The 22Nd Annual International Conference,1
2013 Ieee 21St,1
Usenix Annual Technical,1
Proceedings Of The 11Th,3
Real-Time Systems Symposium,13
19Th Ieee International Parallel And,1
2012 Proceedings Ieee,2
2013 Proceedings Of,1
Proceedings Of The First Acm,1
Journal Of Intelligent Manufacturing,2
(Greencom),1
Acm Sigplan,1
Technology Conference (Vtc,1
Proceedings Of The 2Nd,8
On Distributed Systems Platforms And Open,2
Ieee Internet,1
Microprocessors And Microsystems,1
University Of Memphis,1
Microprocessors And,1
Of The Royal Society Of London,1
Integrated Network,1
Machine Learning In Cyber,1
The Art Of Wireless Sensor,1
Electronic,1
Self-Adaptive And Self-,1
Of The Royal,2
On Mobile Computing,1
2010 16Th Ieee Real,1
Proceedings Of The 2005 Ieee/Acm International,1
Proceedings Of The 4Th International Symposium On,1
Decision And Control,2
Modeling And Engineering,1
2011 Proceedings Ieee,1
Future Of Software,1
Proceedings Of The 7Th Acm Conference On,1
Ieee Micro,1
Workshops (Infocom Wkshps,1
Proceedings Of The 9Th,7
Usenix Symposium On Internet Technologies,1
Ieee Transactions On Computers,10
Proceedings Of The Tenth Acm Sigplan,1
Distributed Computing In,2
Of Ndss Workshop On Security Of,1
Proceedings Of The Tenth Acm,2
Proceedings Of The 2009,1
Proceedings Of The 1St,2
Proceedings Of The 4Th International Symposium,1
Ieee Transactions On Consumer,1
And Distributed Processing,1
26Th Ieee International Real,3
Proceedings Of The 2007,1
Sensors,13
2005 Ieee International,1
Real-Time And,11
International Conference,1
Eurasip,1
Proceedings Of The 10Th International Conference,1
Infocom 2009,2
Sc 2006 Conference,1
Real-Time Systems,73
