Paper Title: Body area networks: A survey
Citing Paper Number,Paper Title,Over-cite Count
1, Definition and synergies of cognitive infocommunications,1
2,Wireless body area networks: A survey,No PDF Found
3,A survey on ambient-assisted living tools for older adults,1
4,An overview of IEEE 802.15. 6 standard,1
5,Molecular communication and networking: Opportunities and challenges,2
6,A survey on ambient intelligence in healthcare,No PDF Found
7,Wireless sensor networks: a survey on recent developments and potential synergies,No PDF Found
8,A survey of recent developments in home M2M networks,No PDF Found
9,A secure handshake scheme with symptoms-matching for mhealthcare social network,1
10,"Mobile cloud computing: A survey, state of art and future directions",2
11,A survey on wireless body area networks: technologies and design challenges,1
12,ReTrust: Attack-resistant and lightweight trust management for medical sensor networks,No PDF Found
13,Cognitive infocommunications: coginfocom,0
14,Cloud-enabled wireless body area networks for pervasive healthcare,No PDF Found
15,ECG-cryptography and authentication in body area networks,No PDF Found
16,Mobility support for health monitoring at home using wearable sensors,1
17,Wireless sensor networks for rehabilitation applications: Challenges and opportunities,1
18, Data mining for wearable sensors in health monitoring systems: a review of recent trends and challenges,No PDF Found
19, Data-centric multiobjective QoS-aware routing protocol for body sensor networks,No PDF Found
20,A survey on communication and data management issues in mobile sensor networks,1
21,BodyCloud: A SaaS approach for community body sensor networks,1
22,Energy efficient multimedia streaming to mobile devices—a survey,2
23,BodyCloud: Integration of Cloud Computing and body sensor networks,No PDF Found
24,Coloring-based inter-WBAN scheduling for mobile wireless body area networks,1
25,BANA: body area network authentication exploiting channel characteristics,1
26, From machine-to-machine communications towards cyber-physical systems.,No PDF Found
27,"A review of IEEE 802.15. 6 MAC, PHY, and security specifications",No PDF Found
28,Towards smart city: M2M communications with software agent intelligence,No PDF Found
29, A survey of body sensor networks,No PDF Found
30,A literature review of RFID-enabled healthcare applications and issues,No PDF Found
,Total,17
"
"
