Paper Title: A game-theoretic method of fair resource allocation for cloud computing services,,
Citing Paper Number,Paper Title,Over-cite Count
1, Cloud computing: A study of infrastructure as a service (IAAS),No PDF Found
2,Recent developments in high performance computing for remote sensing: A review,1
3,A survey on service-oriented network virtualization toward convergence of networking and cloud computing,No PDF Found
4,The analytic hierarchy process: task scheduling and resource allocation in cloud computing environment,1
5,Cloud model for service selection,1
6,Dynamic resource allocation with management objectives?Implementation for an OpenStack cloud,1
7,Universal scaling for the dilemma strength in evolutionary games,1
8,An SMDP-based service model for interdomain resource allocation in mobile cloud networks,1
9, A threshold-based dynamic resource allocation scheme for cloud computing,No PDF Found
10,GA-based task scheduler for the cloud computing systems,No PDF Found
11,A game theoretic resource allocation for overall energy minimization in mobile cloud computing system,1
12,Resource allocation for security services in mobile cloud computing,1
13,Resource allocation for real-time tasks using cloud computing,0
14,A framework for resource allocation strategies in cloud computing environment,1
15,Cooperative game-based distributed resource allocation in horizontal dynamic cloud federation platform,2
16,Enabling smart cloud services through remote sensing: An internet of everything enabler,1
17, Quality-of-service in cloud computing: modeling techniques and their applications,No PDF Found
18, Multi-Armed Bandit with Budget Constraint and Variable Costs.,No PDF Found
19,Cloud federations in the sky: Formation game and mechanism,3
20,An evolutionary game theoretic approach to adaptive and stable application deployment in clouds,1
21,Distributed resource allocation games in horizontal dynamic cloud federation platform,No PDF Found
22,Mechanism design for stochastic virtual resource allocation in non-cooperative cloud systems,No PDF Found
23,Towards real-time multi-sensor information retrieval in cloud robotic system,No PDF Found
24,Optimized fast handover scheme in Mobile IPv6 networks to support mobile users for cloud computing,0
25,Optimal pricing and service provisioning strategies in cloud systems: a Stackelberg game approach,1
26,A real-time group auction system for efficient allocation of cloud internet applications,1
27,Service level agreement-based joint application environment assignment and resource allocation in cloud computing systems,1
28,Truthful greedy mechanisms for dynamic virtual machine provisioning and allocation in clouds,2
29,Power efficient resource allocation for clouds using ant colony framework,1
30,A game-theoretical approach to the benefits of cloud computing,2
,Total,24
"
",,
Paper Title: Compressed data aggregation for energy efficient wireless sensor networks,,
Citing Paper Number,Paper Title,Over-cite Count
1,A survey of green mobile networks: Opportunities and challenges,1
2,"EDAL: An energy-efficient, delay-aware, and lifetime-balancing data collection protocol for wireless sensor networks",1
3,Data gathering in wireless sensor networks through intelligent compressive sensing,1
4,CDC: Compressive data collection for wireless sensor networks,2
5,"EDAL: An energy-efficient, delay-aware, and lifetime-balancing data collection protocol for heterogeneous wireless sensor networks",No PDF Found
6,Compressed data aggregation: energy-efficient and high-fidelity data collection,2
7,Hierarchical data aggregation using compressive sensing (HDACS) in WSNs,1
8, A survey of body sensor networks,No PDF Found
9,Analysis of energy efficiency of compressive sensing in wireless sensor networks,1
10,Transmission-efficient clustering method for wireless sensor networks using compressive sensing,1
11,Duty-cycle-aware minimum-energy multicasting in wireless sensor networks,0
12,Capacity and delay analysis for data gathering with compressive sensing in wireless sensor networks,1
13,Energy-efficient routing for correlated data in wireless sensor networks,No PDF Found
14,Compressive sensing based monitoring with vehicular networks,No PDF Found
15,A novel deployment scheme for green internet of things,No PDF Found
16,UNFOLD: uniform fast on-line boundary detection for dynamic 3D wireless sensor networks,No PDF Found
17,Compressive data gathering using random projection for energy efficient wireless sensor networks,1
18,Automatic ARIMA modeling-based data aggregation scheme in wireless sensor networks,No PDF Found
19,Data gathering with compressive sensing in wireless sensor networks: a random walk based approach,1
20,Power-efficient hierarchical data aggregation using compressive sensing in WSNs,1
21,DECA: Recovering fields of physical quantities from incomplete sensory data,2
22,An efficient compressive data gathering routing scheme for large-scale wireless sensor networks,1
23,Energy-efficient edge-based network partitioning scheme for wireless sensor networks,3
24,Efficient sampling and compressive sensing for urban monitoring vehicular sensor networks,No PDF Found
25,A multi-hop broadcast protocol design for emergency warning notification in highway VANETs,No PDF Found
26,Fuzzy-based congestion control for wireless multimedia sensor networks,No PDF Found
27,Novel power-based routing metrics for multi-channel multi-interface wireless mesh networks,6
28,Artificial intelligence based cognitive routing for cognitive radio networks,0
29,Passive cluster-based multipath routing protocol for wireless sensor networks,6
30,Routing protocol over lossy links for ISA100. 11a industrial wireless networks,9
,Total,41
"
",,
Paper Title: A survey of green mobile networks: Opportunities and challenges,,
Citing Paper Number,Paper Title,Over-cite Count
1,"Spatial modulation for generalized MIMO: Challenges, opportunities, and implementation",No PDF Found
2,Directional routing and scheduling for green vehicular delay tolerant networks,4
3,"A survey on the ietf protocol suite for the internet of things: Standards, challenges, and opportunities",0
4,Cache in the air: exploiting content caching and delivery techniques for 5G systems,0
5,A survey on context-aware mobile and wireless networking: on networking and computing environments' integration,1
6,Energy efficient multimedia streaming to mobile devices?a survey,No PDF Found
7,Energy-efficient repulsive cell activation for heterogeneous cellular networks,No PDF Found
8,A survey of energy efficient resource management techniques for multicell cellular networks,1
9,Greening wireless communications: Status and future directions,No PDF Found
10,Energy-efficient base-stations sleep-mode techniques in green cellular networks: A survey,No PDF Found
11, High-capacity wireless backhaul network using seamless convergence of radio-over-fiber and 90-GHz millimeter-wave,1
12,Green heterogeneous small-cell networks: toward reducing the CO 2 emissions of mobile communications industry using uplink power adaptation,1
13,Radio planning of energy-aware cellular networks,No PDF Found
14,Energy-aware mobile learning: opportunities and challenges,1
15,A green framework for energy efficient management in TDMA-based wireless mesh networks,1
16,A survey of green information-centric networking: Research issues and challenges,1
17, Mobile sensing systems,No PDF Found
18,Energy-efficient link adaptation on Rayleigh fading channel for OSTBC MIMO system with imperfect CSIT,No PDF Found
19,Improving capacity and energy efficiency of femtocell based cellular network through cell biasing,1
20,Green mobile clouds: Network coding and user cooperation for improved energy efficiency,1
21,Architecture for green mobile network powered from renewable energy in microgrid configuration,No PDF Found
22,GreenBSN: Enabling energy-proportional cellular base station networks,1
23,Novel power-based routing metrics for multi-channel multi-interface wireless mesh networks,6
24,Passive cluster-based multipath routing protocol for wireless sensor networks,6
25,A new energy prediction approach for intrusion detection in cluster-based wireless sensor networks,1
26,Routing protocol over lossy links for ISA100. 11a industrial wireless networks,9
27, Particle swarm optimization (PSO)-based node and link lifetime prediction algorithm for route recovery in MANET,No PDF Found
28, Energy Efficiency Assessment of Wireless AccessNetworks Utilizing Indoor Base Stations,No PDF Found
29,Energy efficiency of cross-tier base station cooperation in heterogeneous cellular networks,1
30, iMASKO: A genetic algorithm based optimization framework for wireless sensor networks,No PDF Found
,Total,37
"
",,
Paper Title: Directional routing and scheduling for green vehicular delay tolerant networks,,
Citing Paper Number,Paper Title,Over-cite Count
1,Secure and privacy preserving protocol for cloud-based vehicular DTNs,5
2,A distributed algorithm for energy efficient and fault tolerant routing in wireless sensor networks,0
3,A multi-hop broadcast protocol design for emergency warning notification in highway VANETs,No PDF Found
4,Multiagent reinforcement learning with unshared value functions,5
5,Primate-inspired adaptive routing in intermittently connected mobile communication systems,4
6,Artificial intelligence based cognitive routing for cognitive radio networks,0
7,Routing protocol over lossy links for ISA100. 11a industrial wireless networks,9
8, Particle swarm optimization (PSO)-based node and link lifetime prediction algorithm for route recovery in MANET,No PDF Found
9,IM2PR: interference-minimized multipath routing protocol for wireless sensor networks,No PDF Found
10,Survey on location information services for Vehicular Communication Networks,4
11,Self-optimization of coverage and capacity based on a fuzzy neural network with cooperative reinforcement learning,No PDF Found
12,Fuzzy logic based unequal clustering for wireless sensor networks,17
13,Approximating geographic routing using coverage tree heuristics for wireless network,22
14,Vehicle authentication via monolithically certified public key and attributes,27
15,High-throughput transmission-quality-aware broadcast routing in cognitive radio networks,No PDF Found
16,Impact of static trajectories on localization in wireless sensor networks,No PDF Found
17,SEPFL routing protocol based on fuzzy logic control to extend the lifetime and throughput of the wireless sensor network,4
18, An improved multipath MANET routing using link estimation and swarm intelligence,No PDF Found
19,EE-LEACH: development of energy-efficient LEACH Protocol for data gathering in WSN,No PDF Found
20,Contention aware mobility prediction routing for intermittently connected mobile networks,0
21,ACWSN: an adaptive cross layer framework for video transmission over wireless sensor networks,2
22,Particle swarm optimization in intelligent routing of delay-tolerant network routing,No PDF Found
23,Anycast tree-based routing in mobile wireless sensor networks with multiple sinks,25
24,When reputation enforces evolutionary cooperation in unreliable MANETs,6
