Athanasios Vasilakos Top Cited Authors in his/her top 39 papers
Author Name,Total Citation Count
Tadashi Nakano,23
Tatsuya Suda,22
Athanasios Vasilakos,20
Yunhao Liu,19
Joseph Wang,17
Michael John,14
Ian F.,14
Diane J,14
Min Chen,12
Yang Xiao,12
Xiaofei Wang,12
"
"
"Cross Cite Count to Athanasios Vasilakos in the authors' top papers
"
Tadashi Nakano,Papers Analyzed: 11
Paper Name,Total Cross Citation Count
Molecular communication and networking: Opportunities and challenges,1
Self-organizing network services with evolutionary adaptation,No PDF
Design and analysis of molecular relay channels: An information theoretic approach,0
Channel model and capacity analysis of molecular communication with brownian motion,0
Molecular communication among biological nanomachines: A layered architecture and research issues,No PDF
Biologically inspired network systems: a review and future prospects,0
Transmission rate control for molecular communication among biological nanomachines,0
TCP-like molecular communications,2
Measuring distance from single spike feedback signals in molecular communication,0
Oscillation and synchronization of molecular machines by the diffusion of inhibitory molecules,0
Cooperative target tracking by a mobile bionanosensor network,0
Externally controllable molecular communication,0
Distributing nanomachines for minimizing mean residence time of molecular signals in bionanosensor networks,0
Total Citations:,3
"
"
Tatsuya Suda,Papers Analyzed: 9
Paper Name,Total Cross Citation Count
An adaptive bandwidth reservation scheme for high-speed multimedia wireless networks,No PDF
Survey of traffic control schemes and protocols in ATM networks,No PDF
Congestion control and prevention in ATM networks,0
Molecular communication: modeling noise effects on information rate,0
"The bio-networking architecture: A biologically inspired approach to the design of scalable, adaptive, and survivable/available network applications",0
A middleware platform for a biologically inspired network architecture supporting autonomous and adaptive applications,0
Semantics-based dynamic service composition,No PDF
Cell loss and output process analyses of a finite-buffer discrete-time ATM queueing system with correlated arrivals,No PDF
Self-organizing network services with evolutionary adaptation,No PDF
Analysis of a discrete-time single-server queue with bursty inputs for traffic control in ATM networks,No PDF
Transport system architecture services for high-performance communications systems,No PDF
Coverage-aware self-scheduling in sensor networks,No PDF
"Bandwidth-efficient multicast routing for multihop, ad-hoc wireless networks",0
Adaptive multicast of multi-layered video: Rate-based and credit-based approaches,0
Measuring the performance of parallel message-based process architectures,No PDF
Feedback control mechanisms for real-time multipoint video services,No PDF
