Paper Title: A framework for truthful online auctions in cloud computing with heterogeneous user demands
Citing Paper Number,Over-cite Count
1,1
2,1
3,3
4,3
5,1
6,1
9,1
10,2
11,2
12,0
13,1
Total,16
"
"
Paper Title: Spatial reusability-aware routing in multi-hop wireless networks
Citing Paper Number,Over-cite Count
1,28
2,27
3,4
4,25
5,29
6,27
Total,140
"
"
Paper Title: A survey of millimeter wave communications (mmWave) for 5G: opportunities and challenges
Citing Paper Number,Over-cite Count
1,1
2,1
3,2
4,2
5,2
6,2
8,1
9,2
10,2
11,1
12,1
13,2
14,0
Total,19
"
"
Paper Title: CDC: Compressive data collection for wireless sensor networks
Citing Paper Number,Over-cite Count
1,17
2,22
3,4
4,2
5,25
6,12
7,26
8,29
Total,137
"
"
"Paper Title: EDAL: An energy-efficient, delay-aware, and lifetime-balancing data collection protocol for heterogeneous wireless sensor networks"
Citing Paper Number,Over-cite Count
1,17
2,4
3,2
4,25
5,15
6,26
7,11
8,11
Total,111
"
"
Paper Title: Interference-based topology control algorithm for delay-constrained mobile ad hoc networks
Citing Paper Number,Over-cite Count
1,1
2,29
3,27
Total,57
"
"
