Paper Title: A framework for truthful online auctions in cloud computing with heterogeneous user demands
Citing Paper Number,Over-cite Count
1,1
2,1
3,3
4,3
5,1
6,1
9,1
10,2
11,2
12,0
13,1
14,3
16,6
17,1
18,1
19,1
21,11
22,1
23,7
24,0
25,6
26,7
27,1
28,1
29,1
Total,63
"
"
Paper Title: Spatial reusability-aware routing in multi-hop wireless networks
Citing Paper Number,Over-cite Count
1,28
2,27
3,4
4,25
5,29
6,27
7,29
8,10
9,15
10,27
11,21
12,2
13,21
15,20
Total,285
"
"
Paper Title: A survey of millimeter wave communications (mmWave) for 5G: opportunities and challenges
Citing Paper Number,Over-cite Count
1,1
2,1
3,2
4,2
5,2
6,2
8,1
9,2
10,2
11,1
12,1
13,2
14,0
15,2
16,1
17,0
18,1
22,0
23,1
24,12
26,1
27,1
28,1
29,2
30,0
Total,41
"
"
Paper Title: CDC: Compressive data collection for wireless sensor networks
Citing Paper Number,Over-cite Count
1,17
2,22
3,4
4,2
5,25
6,12
7,26
8,29
9,11
10,11
11,4
12,10
13,7
14,22
15,21
16,4
Total,227
"
"
"Paper Title: EDAL: An energy-efficient, delay-aware, and lifetime-balancing data collection protocol for heterogeneous wireless sensor networks"
Citing Paper Number,Over-cite Count
1,17
2,4
3,2
4,25
5,15
6,26
7,11
8,11
9,22
11,16
14,20
15,7
16,22
Total,198
"
"
