Paper Title: Delay tolerant networks: Protocols and applications,,
Citing Paper Number,Paper Title,Over-cite Count
1,Secure and privacy preserving protocol for cloud-based vehicular DTNs,5
2,Cedo: Content-centric dissemination algorithm for delay-tolerant networks,1
3,Effect of traffic volume in real-time disaster evacuation guidance using opportunistic communications,No PDF Found
4,Real-time disaster evacuation guidance using opportunistic communications,No PDF Found
5,"Wireless contacts, Facebook friendships and interests: Analysis of a multi-layer social network in an academic environment",No PDF Found
6,Routing protocol over lossy links for ISA100. 11a industrial wireless networks,9
7,Survey on location information services for Vehicular Communication Networks,4
8,Disaster evacuation guidance using opportunistic communication: The potential for opportunity-based service,2
9,Homesick l�vy walk and optimal forwarding criterion of utility-based routing under sequential encounters,1
10,Fuzzy logic based unequal clustering for wireless sensor networks,17
11,On storage dynamics of space delay/disruption tolerant network node,3
12,Approximating geographic routing using coverage tree heuristics for wireless network,22
13,Novel Quick Start (QS) method for optimization of TCP,3
14,Vehicle authentication via monolithically certified public key and attributes,28
15,High-throughput transmission-quality-aware broadcast routing in cognitive radio networks,No PDF Found
16,Impact of static trajectories on localization in wireless sensor networks,No PDF Found
17,SEPFL routing protocol based on fuzzy logic control to extend the lifetime and throughput of the wireless sensor network,4
18,Visible light communications for entertainment networking,No PDF Found
19,ACWSN: an adaptive cross layer framework for video transmission over wireless sensor networks,2
20,A routing algorithm on delay-tolerant of wireless sensor network based on the node selfishness,No PDF Found
21,Particle swarm optimization in intelligent routing of delay-tolerant network routing,No PDF Found
22,Anycast tree-based routing in mobile wireless sensor networks with multiple sinks,25
23,Multi-Spreader Routing for sparsely populated mobile ad hoc networks,4
24,Path diversified multi-QoS optimization in multi-channel wireless mesh networks,No PDF Found
25,Adaptive message forwarding for avoiding broadcast storm and guaranteeing delay in active safe driving VANET,14
26,Securing data exchange in wireless multimedia sensor networks: perspectives and challenges,13
27,Exploring an energy-efficient DTN framework supporting disaster management services in post disaster relief operation,7
28,An adaptive load-aware routing algorithm for multi-interface wireless mesh networks,3
29,Quality of service management for IPTV services support in VANETs: a performance evaluation study,No PDF Found
30,Modeling and simulation of networked low-power embedded systems: a taxonomy,No PDF Found
,Total,167
"
",,
Paper Title: A framework for truthful online auctions in cloud computing with heterogeneous user demands,,
Citing Paper Number,Paper Title,Over-cite Count
1,Dynamic resource provisioning in cloud computing: A randomized auction approach,1
2,An online auction framework for dynamic resource provisioning in cloud computing,1
3,Cloud federations in the sky: Formation game and mechanism,3
4,Dynamic pricing and profit maximization for the cloud with geo-distributed data centers,1
5,Incentive-compatible online mechanisms for resource provisioning and allocation in clouds,1
6,A voting-based femtocell downlink cell-breathing control mechanism, no pdf
7,Core-selecting auctions for dynamically allocating heterogeneous vms in cloud computing,1
8,A PTAS mechanism for provisioning and allocation of heterogeneous cloud resources,2
9,Continuous double auction mechanism and bidding strategies in cloud computing markets,0
10,Flexauc: Serving dynamic demands in spectrum trading markets with flexible auction,1
11,Auction based resource allocation in cloud computing, no pdf
12,"STAR: strategy-proof double auctions for multi-cloud, multi-tenant bandwidth reservation",3
13,An online mechanism for resource allocation and pricing in clouds, no pdf
14,Joint pricing and capacity planning in the iaas cloud market, no pdf
15,Truthful auction mechanism design for short-interval secondary spectrum access market,1
16,RSMOA: A revenue and social welfare maximizing online auction for dynamic cloud resource provisioning,1
17,Optimal multi-dimensional dynamic resource allocation in mobile cloud computing, no pdf
18,A truthful (1-ε)-optimal mechanism for on-demand cloud resource provisioning,1
19,Resource allocation in cloud environment: a model based on double multi-attribute auction mechanism, no pdf
20,A two-sided market mechanism for trading big data computing commodities,2
21,Aggressive resource provisioning for ensuring QoS in virtualized environments,11
22,FlexAuc: Serving dynamic demands in a spectrum trading market with flexible auction,1
23,Joint Resource Provisioning for Internet Datacenters with Diverse and Dynamic Traffic,7
24,Fine-grained multi-resource scheduling in cloud datacenters,0
25,A strategy-proof combinatorial heterogeneous channel auction framework in noncooperative wireless networks,6
26,Online combinatorial double auction for mobile cloud computing markets,1
27,Online auctions in IaaS clouds: welfare and profit maximization with server costs,1
28,A socially optimal resource and revenue sharing mechanism in cloud federations, no pdf
29,Head: A hybrid spectrum trading framework for qos-aware secondary users, no pdf
30,Joint Optimization of Operational Cost and Performance Interference in Cloud Data Centers,1
,Total,47
"
",,
Paper Title: Spatial reusability-aware routing in multi-hop wireless networks,,
Citing Paper Number,Paper Title,Over-cite Count
1,Vehicle authentication via monolithically certified public key and attributes,28
2,SEPFL routing protocol based on fuzzy logic control to extend the lifetime and throughput of the wireless sensor network,4
3,Anycast tree-based routing in mobile wireless sensor networks with multiple sinks,25
4,Review of vehicular ad hoc network communication models including WVANET (Web VANET) model and WVANET future research directions, no pdf
5,Fuzzy approach to improving route stability of the AODV routing protocol, no pdf
6, A beacon transmission power control algorithm based on wireless channel load forecasting in VANETs, no pdf
7,5G mobile terminals with advanced QoS-based user-centric aggregation (AQUA) for heterogeneous wireless and mobile networks, no pdf
8,Energy harvesting and battery power based routing in wireless sensor networks,29
9,Joint optimization and threshold structure dynamic programming with enhanced priority scheme for adaptive VANET MAC,27
10,Load balancing ad hoc on-demand multipath distance vector (LBAOMDV) routing protocol, no pdf
11,Modeling and simulating traffic congestion propagation in connected vehicles driven by temporal and spatial preference,29
12, On-site configuration of disaster recovery access networks made easy,10
13,A novel multi metric QoS routing protocol for MANET, no pdf
14,Priority based efficient data scheduling technique for VANETs, no pdf
15,HierHybNET: Cut-set upper bound of ad hoc networks with cost-effective infrastructure,15
16,RVCloud: a routing protocol for vehicular ad hoc network in city environment using cloud computing,27
17,Performance evaluation of WSN management system for QoS guarantee, no pdf
18,Load balancing maximal minimal nodal residual energy ad hoc on-demand multipath distance vector routing protocol (LBMMRE-AOMDV),21
19,Low communication cost (LCC) scheme for localizing mobile wireless sensor networks, no pdf
20,"New Perspectives on Future Smart FiWi Networks: Scalability, Reliability, and Energy Efficiency",2
21,Sharing spray and wait routing algorithm in opportunistic networks, no pdf
22,Way-Point Multicast Routing Framework for improving QoS in hybrid wireless mesh networks, no pdf
23,Self soft fault detection based routing protocol for vehicular ad hoc network in city environment,21
24,Cross-layer based congestion detection and routing protocol using fuzzy logic for MANET, no pdf
25, SECURED TRANSMISSION OF DATA IN MOBILE WIRELESS SENSOR NETWORKS,0
26,Oblivious routing in wireless mesh networks, no pdf
27,NODIC: a novel distributed clustering routing protocol in WSNs by using a time-sharing approach for CH election,20
28,Secure way routing protocol for mobile ad hoc network, no pdf
29,Multi-objective fractional artificial bee colony algorithm to energy aware routing protocol in wireless sensor network, no pdf
30,Mobility prediction in mobile ad hoc networks using a lightweight genetic algorithm, no pdf
,Total,258
"
",,
Paper Title: A survey of millimeter wave communications (mmWave) for 5G: opportunities and challenges,,
Citing Paper Number,Paper Title,Over-cite Count
1,Millimeter wave cellular networks: A MAC layer perspective,1
2,User association in 5G networks: A survey and an outlook,2
3,The transitional behavior of interference in millimeter wave networks and its impact on medium access control,2
4,On Link Scheduling Under Blockage and Interference in 60-GHz Ad Hoc Networks, no pdf
5,A survey on 5G: The next generation of mobile communication,2
6,Impact of reflections in enclosed mmWave wearable networks, no pdf
7,Assessing system-level energy efficiency of mmwave-based wearable networks,1
8,Boosting Spatial Reuse via Multiple Paths Multi-Hop Scheduling for Directional mmWave WPANs,1
9,Design aspects of short-range millimeter-wave networks: A MAC layer perspective,2
10,Multi-Resolution Codebook Based Beamforming Sequence Design in Millimeter-Wave Systems, no pdf
11,Practical demonstration of spectrally efficient FDM millimeter-wave radio over fiber systems for 5G cellular networking, no pdf
12,"New Perspectives on Future Smart FiWi Networks: Scalability, Reliability, and Energy Efficiency",2
13, Performance of Enclosed mmWave Wearable Networks,1
14, Fundamentals of medium access control design for millimeter wave networks,0
15, From 3GPP LTE to 5G: An Evolution,1
16, OVERVIEW OF MILLIMETRE WAVE BAND TO BE USED IN 5G, no pdf
17,Power optimization using massive MIMO and small cells approach in different deployment scenarios, no pdf
18,Power Optimization in 5G Networks: A Step Towards GrEEn Communication, no pdf
19,Codebook Design for Millimeter-Wave Channel Estimation with Hybrid Precoding Structure,1
20, Wireless Sensor Network Security Enhancement Using Directional Antennas: State of the Art and Research Challenges, no pdf
21,Indoor Office Plan Environment and Layout-Based mmWave Path Loss Models for 28 GHz and 73 GHz, no pdf
22,Advances in terahertz communications accelerated by photonics, no pdf
23,Modeling statistics of rain attenuation affecting FSO links: A case study, no pdf
24,Dynamic Spectrum Access Algorithm Based on Game Theory in Cognitive Radio Networks,12
25,A new link scheduling algorithm for 60 GHz-WPAN communication system,0
26,Hierarchical Codebook Design for Beamforming Training in Millimeter-Wave Communication,1
27, A Decomposition Principle for Link and Relay Selection in Dual-hop 60 GHz Networks,1
28,Low Complexity Hybrid Precoding and Channel Estimation Based on Hierarchical Multi-Beam Search for Millimeter-Wave MIMO Systems,1
29,5G–Wireless Communications for 2020,2
30, Cell Discovery with Directive Antennas in mm-wave 5G Networks,0
,Total,33
"
",,
Paper Title: 4S: A secure and privacy-preserving key management scheme for cloud-assisted wireless body area network in m-healthcare social networks,,
Citing Paper Number,Paper Title,Over-cite Count
1,Vehicle authentication via monolithically certified public key and attributes,28
2,Dynamic remote data auditing for securing big data storage in cloud computing, no pdf
3, An Efficient Next Hop Selection Algorithm for Multi-Hop Body Area Networks, no pdf
4,PPDM: A privacy-preserving protocol for cloud-assisted e-healthcare systems, no pdf
5, Automatic fall detection system based on the combined use of a smartphone and a smartwatch, no pdf
6, SECURED TRANSMISSION OF DATA IN MOBILE WIRELESS SENSOR NETWORKS,0
7,Secure way routing protocol for mobile ad hoc network, no pdf
8,Location prediction algorithm for a nonlinear vehicular movement in VANET using extended Kalman filter, no pdf
9,Energy efficient geographical key management scheme for authentication in mobile wireless sensor networks, no pdf
10,Cross-layer based multiclass intrusion detection system for secure multicast communication of MANET in military networks,3
11,A Secure Cloud-Assisted Wireless Body Area Network in Mobile Emergency Medical Care System,1
12,e-Health Cloud: Privacy Concerns and Mitigation Strategies,0
13,A secure and trust based on-demand multipath routing scheme for self-organized mobile ad-hoc networks, no pdf
14,An Efficient and Secure RSA Based Certificateless Signature Scheme for Wireless Sensor Networks, no pdf
15,Pair-wise key agreement and hop-by-hop authentication protocol for MANET, no pdf
16,Efficient and robust user authentication scheme that achieve user anonymity with a Markov chain, no pdf
17,Security upgrade against RREQ flooding attack by using balance index on vehicular ad hoc network, no pdf
18,Trusted Tree-Based Trust Management Scheme for Secure Routing in Wireless Sensor Networks,0
19,Light weight security protocol for communications in vehicular networks,0
20,Secure and reliable routing in cognitive radio networks, no pdf
21,[CITATION][C] Lightweight Anonymous Key Distribution Scheme for Smart Grid using Elliptic Curve Cryptography, no pdf
22,Fuzzy queries processing based on intuitionistic fuzzy social relational networks,2
23,Performance analysis of multiplexing and error control scheme for body area networks, no pdf
24,Cryptographic key exchange scheme for cloud based healthcare monitoring, no pdf
25,A Novel Lightweight Key Management Scheme for Patient Data Privacy on Body Sensor and Cloud based Healthcare Service, no pdf
26,Energy efficient secured routing protocol for MANETs, no pdf
27,"Towards comparative evaluation of trust and reputation models over static, dynamic and oscillating wireless sensor networks", no pdf
