Athanasios Vasilakos Top Cited Authors in his/her top 38 papers,
Author Name,Total Citation Count
Tadashi Nakano,23
Tatsuya Suda,22
Athanasios Vasilakos,21
Yunhao Liu,20
Joseph Wang,17
Diane J,14
Michael John,14
Ian F.,14
Xiaofei Wang,13
Xue Liu,12
"
",
"Cross Cite Count to Athanasios Vasilakos in the authors' top papers
",
Tadashi Nakano,Papers Analyzed: 6
Paper Name,Total Cross Citation Count
Molecular communication and networking: Opportunities and challenges,4
Molecular communication,No PDF
Molecular communication for nanomachines using intercellular calcium signaling,0
Exploratory research on molecular communication between nanomachines,0
Self-organizing network services with evolutionary adaptation,No PDF
A Design of a Molecular Communication System for Nanomachines Using Molecular Motors.,0
Design and analysis of molecular relay channels: An information theoretic approach,0
Channel model and capacity analysis of molecular communication with brownian motion,1
A molecular communication system using a network of cytoskeletal filaments,No PDF
Molecular communication among biological nanomachines: A layered architecture and research issues,No PDF
"Molecular communication through gap junction channels: System design, experiments and modeling",0
Anonymity and roles associated with aggressive posts in an online forum,0
Biologically inspired network systems: a review and future prospects,0
Transmission rate control for molecular communication among biological nanomachines,4
Molecular communication technology as a biological ICT,0
Applying biological principles to designs of network services,0
TCP-like molecular communications,3
Measuring distance from single spike feedback signals in molecular communication,0
Adaptive and evolvable network services,No PDF
"Hybrid dna and enzyme based computing for address encoding, link switching and error correction in molecular communication",0
Microplatform for intercellular communication,0
Addressing by beacon distances using molecular communication,0
A Bosom Buddy Afar Brings a Distant Land Near: Are Bloggers a Global Community?,0
In-sequence molecule delivery over an aqueous medium,0
Measuring distance with molecular communication feedback protocols,0
Oscillation and synchronization of molecular machines by the diffusion of inhibitory molecules,0
Effective Web browsing through content delivery adaptation,0
Cooperative target tracking by a mobile bionanosensor network,1
Biological excitable media based on non-excitable cells and calcium signaling,0
Dynamic reconfiguration of network applications and middleware systems in the bio-networking architecture,0
Externally controllable molecular communication,2
Distributing nanomachines for minimizing mean residence time of molecular signals in bionanosensor networks,1
Article I,0
Absorption spectra of high purity metallic and semiconducting single-walled carbon nanotube thin films in a wide energy region,0
Biologically inspired future service environment,0
Information transfer through calcium signaling,No PDF
Autonomous mobile bionanosensor networks for target tracking: A two-dimensional model,2
Total Citations:,18
"
",
Tatsuya Suda,Papers Analyzed: 18
Paper Name,Total Cross Citation Count
An adaptive bandwidth reservation scheme for high-speed multimedia wireless networks,No PDF
Survey of traffic control schemes and protocols in ATM networks,No PDF
Molecular communication,No PDF
Congestion control and prevention in ATM networks,0
Molecular communication for nanomachines using intercellular calcium signaling,0
Source-adaptive multilayered multicast algorithms for real-time video distribution,0
Exploratory research on molecular communication between nanomachines,0
Molecular communication: modeling noise effects on information rate,0
An object-oriented framework for dynamically configuring extensible distributed systems,0
"Adaptive: a dynamically assembled protocol transformation, integration and evaluation environment",0
Dynamic service composition using semantic information,0
"The bio-networking architecture: A biologically inspired approach to the design of scalable, adaptive, and survivable/available network applications",0
A middleware platform for a biologically inspired network architecture supporting autonomous and adaptive applications,0
Semantics-based dynamic service composition,No PDF
Self-organizing network services with evolutionary adaptation,No PDF
Cell loss and output process analyses of a finite-buffer discrete-time ATM queueing system with correlated arrivals,No PDF
Analysis of a discrete-time single-server queue with bursty inputs for traffic control in ATM networks,No PDF
A Design of a Molecular Communication System for Nanomachines Using Molecular Motors.,0
Transport system architecture services for high-performance communications systems,No PDF
Automated generation of composite web services based on functional semantics,0
Coverage-aware self-scheduling in sensor networks,No PDF
An end-to-end multi-path smooth handoff scheme for stream media,0
"Bandwidth-efficient multicast routing for multihop, ad-hoc wireless networks",0
Adaptive multicast of multi-layered video: Rate-based and credit-based approaches,0
Measuring the performance of parallel message-based process architectures,No PDF
Feedback control mechanisms for real-time multipoint video services,No PDF
"Autonomous Loading, Transport, and Unloading of Specified Cargoes by Using DNA Hybridization and Biological Motor‐Based Motility",No PDF
An equilibratory market-based approach for distributed resource allocation and its applications to communication network control,No PDF
Packetized voice/data integrated transmission on a token passing ring local area network,No PDF
A molecular communication system using a network of cytoskeletal filaments,No PDF
Network border patrol,0
Molecular communication among biological nanomachines: A layered architecture and research issues,No PDF
Molecular communication for health care applications,0
Connectionless service for public ATM networks,No PDF
"Molecular communication through gap junction channels: System design, experiments and modeling",0
Distributed pagerank: a distributed reputation model for open peer-to-peer network,0
Anonymity and roles associated with aggressive posts in an online forum,0
Molecular communication among nanomachines using vesicles,0
Semantics-based dynamic web service composition,No PDF
