Body area networks: A survey
Comput. Sci. Inf. Syst.,1
Sensors,3
Acta Polytechnica Hungarica,1
Multimedia Tools and Applications,1
IEEE Network,1
Mobile Networks and Applications,1
"
"
A game-theoretic method of fair resource allocation for cloud computing services
Web Information Systems and Mining (WISM),1
AAAI,1
The Journal of Supercomputing,2
arXiv preprint arXiv:1102.2608,1
Cloud Computing (CLOUD),1
Procedia Engineering,1
Physics of life reviews,1
"
"
Compressed data aggregation for energy efficient wireless sensor networks
Wireless Networks,1
Wireless networks,2
Ad Hoc Networks,2
IEEE/ACM Transactions on Networking (TON),1
Sensor,1
Sensors,1
Artificial Intelligence Review,1
INFOCOM,2
IEEE Sensors Journal,1
"
"
A survey of green mobile networks: Opportunities and challenges
Wireless Networks,1
Wireless networks,3
arXiv preprint arXiv:1406.1867,1
Sensors,1
Computer Networks,1
Journal of Sensor and Actuator Networks,1
"
"
Directional routing and scheduling for green vehicular delay tolerant networks
IEEE transactions on cybernetics,2
Wireless networks,5
Artificial Intelligence Review,1
Multimedia Tools and Applications,1
Wireless Networks,14
"
"
Routing for disruption tolerant networks: taxonomy and design
2010,1
Wireless Personal Communications,1
Wireless Networks,3
Wireless Days (WD),1
Telecommunication Systems,1
Routing in Opportunistic Networks,1
Computer Communications,1
2011,1
Advance Computing Conference (IACC),1
Wireless networks,2
INFOCOM,1
Mobile Networks and Applications,2
"
"
Molecular communication and networking: Opportunities and challenges
2015,1
IEEE communications letters,1
PloS one,1
IEEE Transactions on Nanotechnology,2
Nano Communication Networks,3
Simulation Modelling Practice and Theory,1
arXiv preprint arXiv:1510.03947,1
2014,1
"
"
Routing metrics of cognitive radio networks: A survey
Artificial Intelligence Review,1
Computer Networks,1
Wireless Networks,14
Wireless networks,3
WiMob,1
Computers & Electrical Engineering,1
"
"
Flooding-limited and multi-constrained QoS multicast routing based on the genetic algorithm for MANETs
Sensors,1
Soft Computing,2
Applied Soft Computing,1
Journal of Network and Computer Applications,1
Journal of Sensor and Actuator Networks,1
IET communications,2
IEEE Systems Journal,1
Wireless Networks,3
Wireless networks,3
IET networks,3
IET Networks,1
The Scientific World Journal,1
Information Sciences,1
IEEE Communications letters,1
"
"
Security and privacy for storage and computation in cloud computing
Journal of Network and Computer Applications,1
Nonlinear Dynamics,1
Wireless Networks,2
Information Sciences,6
Computers in Human Behavior,1
Information sciences,1
2015,1
2014,2
Expert Systems with Applications,1
IEEE Wireless Communications,1
arXiv preprint arXiv:1501.01323,1
Information & Management,1
"
"
"A survey on the ietf protocol suite for the internet of things: Standards, challenges, and opportunities"
Sensors,1
Information Fusion,1
Journal of Network and Computer Applications,1
IEEE Access,1
Wireless Networks,9
"
"
An adaptive geometry-based stochastic model for non-isotropic MIMO mobile-to-mobile channels
2010,1
"
"
"A survey on topology control in wireless sensor networks: Taxonomy, comparative study, and open issues"
IEEE transactions on cybernetics,1
2015,1
Int. J. Smart Sens. Intell. Syst,1
Wireless Networks,11
IEEE Sensors Journal,1
Control,1
Sensors,1
Journal of Sensors,1
International Journal of Control,1
"
"
Delay tolerant networks: Protocols and applications
Multimedia Tools and Applications,1
Wireless networks,3
Wireless Networks,15
"
"
A survey on ambient intelligence in healthcare
Wireless Networks,4
arXiv preprint arXiv:1411.1821,1
Sensors,2
AAAI,1
Journal of Sensors,1
Pervasive and Mobile Computing,1
Egyptian Computer Science Journal,1
"
"
Multi-layer clustering routing algorithm for wireless vehicular sensor networks
Sensors,1
Journal of Shanghai University (English Edition),1
International Journal of Distributed Sensor Networks,1
IET Wireless Sensor Systems,1
Wireless Networks,9
Journal of Network and Computer Applications,1
Wireless networks,4
IET wireless sensor systems,1
Ad Hoc Networks,1
Journal of Sensors,1
"
"
CodePipe: An opportunistic feeding and routing protocol for reliable multicast with pipelined network coding
Computing,1
IEEE Systems Journal,1
Wireless networks,3
Artificial Intelligence Review,1
Wireless Networks,14
"
"
A survey on trust management for Internet of Things
2015,1
Journal of Network and Computer Applications,1
Wireless Networks,5
Wireless networks,1
Computer Communications,1
2014,1
Sensors,2
Multimedia Tools and Applications,1
Information Sciences,1
Computer Networks,1
Pervasive and Mobile Computing,1
"
"
A survey of security challenges in cognitive radio networks: Solutions and future research directions
IEEE Communications Surveys & Tutorials,1
Wireless Networks,5
Wireless networks,1
2014,1
Sensors,1
Artificial Intelligence Review,1
Computer Networks,1
IEEE Network,1
Renewable and Sustainable Energy Reviews,1
China Communications,1
"
"
"EDAL: An energy-efficient, delay-aware, and lifetime-balancing data collection protocol for wireless sensor networks"
PloS one,1
Wireless Networks,12
Wireless networks,1
Multimedia Tools and Applications,1
Sensors,2
"
"
Linguistic models and linguistic modeling
2007,1
Archives of Control Science,1
IEICE transactions on information and systems,1
GrC,1
Soft Computing,1
IEEE Transactions on Systems,3
Fuzzy Sets and Systems,1
Gait & posture,1
Physica A: Statistical Mechanics and its Applications,1
International journal of remote sensing,1
Pattern recognition,1
Fuzzy sets and Systems,1
Information Sciences,2
International Journal of Intelligent Systems,1
IEEE Transactions on Fuzzy Systems,2
Granular computing,1
"
"
Granular computing: perspectives and challenges
IEEE transactions on cybernetics,3
International Journal of Approximate Reasoning,1
Mathematical Problems in Engineering,1
Applied Mathematics and Computation,1
Granular Computing,1
Knowledge-Based Systems,6
IEEE Transactions on Fuzzy Systems,1
arXiv preprint arXiv:1209.5598,1
Information Sciences,5
Canadian Conference on Artificial Intelligence,1
"
"
Distributed media services in P2P-based vehicular networks
Journal of Systems Architecture,1
Vehicular communications,1
2014,1
Information Fusion,1
IEEE Systems Journal,3
"
"
Prediction-based data aggregation in wireless sensor networks: Combining grey model and Kalman Filter
Sensors & Transducers,1
Advances in Information Sciences & Service Sciences,1
Wireless Networks,8
Computer Communications,1
Information Sciences,1
Sensors,2
Artificial Intelligence Review,1
Advanced Materials Research,1
IEEE Sensors Journal,1
Journal of Sensors,1
International Journal of Control,1
Signal Processing,1
CIIT,1
"
"
Backpressure-based routing protocol for DTNs
Artificial Intelligence Review,1
Wireless networks,5
2012,1
Wireless Networks,11
IEEE Communications surveys & tutorials,1
Ad Hoc Networks,1
INFOCOM,1
Advances in Computing,1
"
"
Spatial reusability-aware routing in multi-hop wireless networks
Wireless networks,1
PloS one,1
Ad Hoc Networks,1
Advances in Computing,1
Wireless Networks,19
"
"
A survey on service-oriented network virtualization toward convergence of networking and cloud computing
Journal of Network and Computer Applications,2
Mobile Cloud Computing,1
IEEE Communications Surveys & Tutorials,1
Wireless Networks,2
Information Sciences,1
2015,1
Expert Systems with Applications,1
Computer Networks,2
Procedia Computer Science,1
"
"
Security of the internet of things: Perspectives and challenges
Wireless Networks,6
Microprocessors and Microsystems,2
Sensors,1
Computer Networks,2
researchgate.net,1
IEEE Internet of Things Journal,1
Cluster Computing,1
"
"
Algorithm design for data communications in duty-cycled wireless sensor networks: A survey
Sensors,1
Int. J. Smart Sens. Intell. Syst,1
