Paper Title: A game-theoretic method of fair resource allocation for cloud computing services
Citing Paper Number,Over-cite Count
2,1
3,1
5,7
6,1
7,1
8,1
9,1
10,1
11,1
13,1
14,1
15,1
16,0
17,1
18,2
19,2
20,1
21,1
23,3
24,3
25,1
26,1
27,0
28,0
29,1
30,1
31,1
32,1
33,2
34,2
35,1
36,2
Total,44
"
"
Paper Title: Compressed data aggregation for energy efficient wireless sensor networks
Citing Paper Number,Over-cite Count
1,1
2,1
3,1
4,1
5,2
6,2
8,2
9,1
10,1
11,1
12,1
13,0
14,1
15,1
17,1
20,2
22,1
23,1
24,1
25,1
26,2
27,1
28,3
30,1
31,6
32,0
33,19
34,6
35,9
Total,70
"
"
Paper Title: A survey of green mobile networks: Opportunities and challenges
Citing Paper Number,Over-cite Count
2,1
3,4
4,0
5,0
6,0
7,1
8,1
9,2
10,2
11,1
12,1
13,1
14,1
15,1
17,1
18,1
19,1
20,0
21,0
22,1
23,1
24,1
25,1
26,1
28,1
29,1
30,1
31,1
32,6
33,6
34,1
35,9
36,1
Total,51
"
"
Paper Title: Directional routing and scheduling for green vehicular delay tolerant networks
Citing Paper Number,Over-cite Count
1,5
2,0
3,0
4,5
5,5
6,4
7,4
8,0
9,19
10,9
12,7
13,4
14,4
15,17
16,22
17,28
18,27
20,13
22,8
23,4
24,0
25,3
26,2
27,25
28,6
29,6
30,4
32,8
33,14
34,13
35,0
36,7
Total,273
"
"
Paper Title: Routing for disruption tolerant networks: taxonomy and design
Citing Paper Number,Over-cite Count
1,4
2,3
3,3
4,2
5,5
6,1
7,1
8,1
9,1
10,3
13,1
14,1
15,1
16,1
17,1
18,3
19,1
20,4
21,4
22,1
23,9
25,7
26,4
27,4
28,1
29,1
30,1
31,5
Total,74
"
"
Paper Title: Molecular communication and networking: Opportunities and challenges
Citing Paper Number,Over-cite Count
1,1
2,2
3,2
5,1
7,6
8,1
9,1
10,4
11,3
12,4
13,1
14,3
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,0
32,1
33,1
34,1
35,1
37,1
38,1
39,1
40,1
41,1
42,1
Total,54
"
"
Paper Title: Routing metrics of cognitive radio networks: A survey
Citing Paper Number,Over-cite Count
1,1
2,1
3,0
4,0
5,0
6,19
7,9
8,1
9,1
10,1
11,22
12,28
13,27
15,13
16,4
17,1
18,1
19,2
20,2
21,2
22,25
24,8
25,14
26,14
27,14
28,0
29,7
30,3
32,6
33,1
34,1
35,3
36,26
37,9
Total,266
"
"
